month,total_sales,previous_month_sales,mom_growth_percentage
01-01-2022,8064,NULL,NULL
01-04-2022,2976,8064,-63.10
01-05-2022,1216,2976,-59.14
01-10-2022,3676,1216,202.30
01-12-2022,488,3676,-86.72
01-13-22,1104,488,126.23
01-17-22,4112,1104,272.46
01-19-22,2446,4112,-40.52
01-24-22,2670,2446,9.16
01-25-22,4226,2670,58.28
01-27-22,756,4226,-82.11
01-28-22,2662,756,252.12
01-29-22,15928,2662,498.35
01-31-22,806,15928,-94.94
02-05-2022,23390,806,2801.99
02-08-2022,1136,23390,-95.14
02-10-2022,994,1136,-12.50
02-11-2022,1740,994,75.05
02-12-2022,2410,1740,38.51
02-14-22,4136,2410,71.62
02-16-22,6734,4136,62.81
02-17-22,1664,6734,-75.29
02-19-22,3094,1664,85.94
02-21-22,18908,3094,511.12
02-22-22,22516,18908,19.08
02-23-22,5698,22516,-74.69
02-24-22,8688,5698,52.47
02-25-22,9820,8688,13.03
02-26-22,8322,9820,-15.25
02-28-22,818,8322,-90.17
03-01-2022,4038,818,393.64
03-03-2022,29886,4038,640.12
03-05-2022,2814,29886,-90.58
03-08-2022,1083,2814,-61.51
03-09-2022,20985,1083,1837.67
03-10-2022,3903,20985,-81.40
03-12-2022,417,3903,-89.32
03-17-22,1512,417,262.59
03-21-22,3536,1512,133.86
03-22-22,846,3536,-76.07
03-23-22,8011,846,846.93
03-25-22,1956,8011,-75.58
03-26-22,9601,1956,390.85
03-28-22,1218,9601,-87.31
03-29-22,1861,1218,52.79
03-31-22,770,1861,-58.62
06-05-2021,324,770,-57.92
06-08-2021,1196,324,269.14
06-11-2021,2141,1196,79.01
06-15-21,759,2141,-64.55
06-17-21,483,759,-36.36
06-18-21,1984,483,310.77
06-19-21,253,1984,-87.25
06-23-21,2715,253,973.12
06-24-21,6373,2715,134.73
06-28-21,246,6373,-96.14
06-29-21,1965,246,698.78
07-01-2021,2636,1965,34.15
07-08-2021,327,2636,-87.59
07-09-2021,23250,327,7010.09
07-10-2021,960,23250,-95.87
07-12-2021,339,960,-64.69
07-13-21,1024,339,202.06
07-16-21,3014,1024,194.34
07-22-21,352,3014,-88.32
07-24-21,4384,352,1145.45
07-26-21,2681,4384,-38.85
07-28-21,238,2681,-91.12
07-29-21,1224,238,414.29
07-30-21,2716,1224,121.90
07-31-21,1550,2716,-42.93
08-04-2021,6738,1550,334.71
08-05-2021,862,6738,-87.21
08-06-2021,4370,862,406.96
08-07-2021,1388,4370,-68.24
08-10-2021,1351,1388,-2.67
08-14-21,1484,1351,9.84
08-15-21,4961,1484,234.30
08-16-21,7319,4961,47.53
08-19-21,1418,7319,-80.63
08-20-21,68,1418,-95.20
08-21-21,408,68,500.00
08-25-21,8102,408,1885.78
08-26-21,689,8102,-91.50
09-03-2021,1432,689,107.84
09-06-2021,236,1432,-83.52
09-07-2021,857,236,263.14
09-09-2021,90,857,-89.50
09-11-2021,248,90,175.56
09-14-21,27475,248,10978.63
09-15-21,7933,27475,-71.13
09-16-21,6754,7933,-14.86
09-18-21,6171,6754,-8.63
09-21-21,3398,6171,-44.94
09-22-21,6515,3398,91.73
09-24-21,384,6515,-94.11
09-27-21,243,384,-36.72
09-29-21,828,243,240.74
10-01-2021,8420,828,916.91
10-02-2021,3150,8420,-62.59
10-04-2021,23080,3150,632.70
10-05-2021,11020,23080,-52.25
10-06-2021,3448,11020,-68.71
10-08-2021,15346,3448,345.07
10-09-2021,3006,15346,-80.41
10-11-2021,5282,3006,75.72
10-12-2021,5280,5282,-0.04
10-13-21,914,5280,-82.69
10-14-21,2346,914,156.67
10-15-21,3944,2346,68.12
10-18-21,1088,3944,-72.41
10-20-21,6622,1088,508.64
10-21-21,7614,6622,14.98
10-23-21,7018,7614,-7.83
10-26-21,2898,7018,-58.71
10-29-21,2262,2898,-21.95
11-01-2021,1824,2262,-19.36
11-03-2021,11956,1824,555.48
11-12-2021,942,11956,-92.12
11-16-21,11642,942,1135.88
11-19-21,3416,11642,-70.66
11-22-21,9320,3416,172.83
11-23-21,2698,9320,-71.05
11-26-21,1130,2698,-58.12
11-27-21,2878,1130,154.69
11-29-21,4566,2878,58.65
12-02-2021,2894,4566,-36.62
12-06-2021,2108,2894,-27.16
12-09-2021,2240,2108,6.26
12-13-21,6634,2240,196.16
12-14-21,4498,6634,-32.20
12-15-21,4074,4498,-9.43
12-16-21,1520,4074,-62.69
12-21-21,912,1520,-40.00
12-24-21,3892,912,326.75
12-27-21,1386,3892,-64.39
12-28-21,2738,1386,97.55
12-30-21,2940,2738,7.38
Apr-22,1186270,2940,40249.32
Aug-21,1150916,1186270,-2.98
Dec-21,803444,1150916,-30.19
Feb-22,2412848,803444,200.31
Jan-22,913688,2412848,-62.13
Jul-21,843551,913688,-7.68
Jun-21,988233,843551,17.15
Mar-22,1706862,988233,72.72
May-22,224514,1706862,-86.85
Nov-21,1378104,224514,513.82
Oct-21,2865134,1378104,107.90
Sep-21,1294808,2865134,-54.81
